Order Number,Line Number,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Unit Price,Net Price,Unit Cost,Currency Code,Exchange Rate
269500,0,2017-05-18 00:00:00,2017-05-24 00:00:00,769337,999999,555,1,343.50,343.50,175.13,EUR,0.8986
269500,1,2017-05-18 00:00:00,2017-05-24 00:00:00,769337,999999,1522,1,532.00,468.16,176.26,EUR,0.8986
269500,2,2017-05-18 00:00:00,2017-05-24 00:00:00,769337,999999,444,6,1378.50,1199.30,456.72,EUR,0.8986
269500,3,2017-05-18 00:00:00,2017-05-24 00:00:00,769337,999999,1487,2,373.80,343.90,171.89,EUR,0.8986
269500,4,2017-05-18 00:00:00,2017-05-24 00:00:00,769337,999999,18,3,98.96,85.10,45.50,EUR,0.8986
269501,0,2017-05-18 00:00:00,2017-05-18 00:00:00,1363969,630,124,2,265.99,265.99,122.32,USD,1.0000
269501,1,2017-05-18 00:00:00,2017-05-18 00:00:00,1363969,630,2494,3,4.12,4.12,2.10,USD,1.0000
269501,2,2017-05-18 00:00:00,2017-05-18 00:00:00,1363969,630,402,10,1948.50,1948.50,645.57,USD,1.0000
269501,3,2017-05-18 00:00:00,2017-05-18 00:00:00,1363969,630,354,7,574.43,574.43,292.86,USD,1.0000
269501,4,2017-05-18 00:00:00,2017-05-18 00:00:00,1363969,630,428,6,1453.50,1250.01,481.58,USD,1.0000
269502,0,2017-05-18 00:00:00,2017-05-18 00:00:00,1071598,420,1571,7,74.09,74.09,34.07,GBP,0.7670
269502,1,2017-05-18 00:00:00,2017-05-18 00:00:00,1071598,420,18,2,98.96,98.96,45.50,GBP,0.7670
269503,0,2017-05-18 00:00:00,2017-05-18 00:00:00,10568,35,1629,3,12.99,12.08,6.62,AUD,1.3440
269503,1,2017-05-18 00:00:00,2017-05-18 00:00:00,10568,35,54,2,266.40,261.07,88.26,AUD,1.3440
269504,0,2017-05-18 00:00:00,2017-05-20 00:00:00,1337541,999999,2366,1,269.99,237.59,137.65,USD,1.0000
269504,1,2017-05-18 00:00:00,2017-05-20 00:00:00,1337541,999999,1577,2,284.70,270.47,94.33,USD,1.0000
269504,2,2017-05-18 00:00:00,2017-05-20 00:00:00,1337541,999999,1122,1,365.20,365.20,167.95,USD,1.0000
269504,3,2017-05-18 00:00:00,2017-05-20 00:00:00,1337541,999999,113,2,224.99,224.99,74.55,USD,1.0000
269600,0,2017-05-19 00:00:00,2017-05-19 00:00:00,1407591,630,424,2,404.93,364.43,206.45,USD,1.0000
269600,1,2017-05-19 00:00:00,2017-05-19 00:00:00,1407591,630,374,8,1948.50,1948.50,645.57,USD,1.0000
269600,2,2017-05-19 00:00:00,2017-05-19 00:00:00,1407591,630,1533,3,418.60,418.60,192.50,USD,1.0000
269600,3,2017-05-19 00:00:00,2017-05-19 00:00:00,1407591,630,1579,3,284.70,284.70,94.33,USD,1.0000
269600,4,2017-05-19 00:00:00,2017-05-19 00:00:00,1407591,630,2494,4,4.12,4.03,2.10,USD,1.0000
269600,5,2017-05-19 00:00:00,2017-05-19 00:00:00,1407591,630,1114,3,367.40,334.33,168.95,USD,1.0000
269600,6,2017-05-19 00:00:00,2017-05-19 00:00:00,1407591,630,1795,1,38.70,34.06,19.73,USD,1.0000
269601,0,2017-05-19 00:00:00,2017-05-21 00:00:00,486481,999999,1917,4,443.70,394.89,204.04,EUR,0.8945
269601,1,2017-05-19 00:00:00,2017-05-21 00:00:00,486481,999999,1450,1,431.20,396.70,198.30,EUR,0.8945
269601,2,2017-05-19 00:00:00,2017-05-21 00:00:00,486481,999999,1718,2,63.12,63.12,29.03,EUR,0.8945
269601,3,2017-05-19 00:00:00,2017-05-21 00:00:00,486481,999999,1657,4,233.99,231.65,107.60,EUR,0.8945
269602,0,2017-05-19 00:00:00,2017-05-25 00:00:00,990768,999999,117,6,161.49,161.49,82.34,GBP,0.7685
269602,1,2017-05-19 00:00:00,2017-05-25 00:00:00,990768,999999,1819,5,28.80,28.80,14.68,GBP,0.7685
269700,0,2017-05-20 00:00:00,2017-05-20 00:00:00,1929311,670,196,4,256.41,223.07,130.72,USD,1.0000
269700,1,2017-05-20 00:00:00,2017-05-20 00:00:00,1929311,670,1632,1,23.39,23.39,10.75,USD,1.0000
269701,0,2017-05-20 00:00:00,2017-05-20 00:00:00,226184,80,2093,1,457.20,434.34,233.09,CAD,1.3569
269701,1,2017-05-20 00:00:00,2017-05-20 00:00:00,226184,80,20,1,120.60,104.92,55.46,CAD,1.3569
269702,0,2017-05-20 00:00:00,2017-05-24 00:00:00,1499310,999999,64,1,162.90,144.98,74.92,USD,1.0000
269702,1,2017-05-20 00:00:00,2017-05-24 00:00:00,1499310,999999,2488,3,20.99,18.05,10.70,USD,1.0000
269702,2,2017-05-20 00:00:00,2017-05-24 00:00:00,1499310,999999,2513,6,181.99,181.99,60.30,USD,1.0000
269703,0,2017-05-20 00:00:00,2017-05-23 00:00:00,1863336,999999,216,3,521.55,469.40,239.85,USD,1.0000
269703,1,2017-05-20 00:00:00,2017-05-23 00:00:00,1863336,999999,648,2,118.50,118.50,60.42,USD,1.0000
269703,2,2017-05-20 00:00:00,2017-05-23 00:00:00,1863336,999999,1596,1,16.46,14.15,7.57,USD,1.0000
269703,3,2017-05-20 00:00:00,2017-05-23 00:00:00,1863336,999999,1411,1,375.20,371.45,172.54,USD,1.0000
269704,0,2017-05-20 00:00:00,2017-05-23 00:00:00,809101,999999,2491,1,34.99,30.09,17.84,EUR,0.8945
269704,1,2017-05-20 00:00:00,2017-05-23 00:00:00,809101,999999,806,2,23.85,23.85,12.17,EUR,0.8945
269704,2,2017-05-20 00:00:00,2017-05-23 00:00:00,809101,999999,616,7,748.50,748.50,381.60,EUR,0.8945
269704,3,2017-05-20 00:00:00,2017-05-23 00:00:00,809101,999999,1646,5,207.99,183.03,95.64,EUR,0.8945
269705,0,2017-05-20 00:00:00,2017-05-20 00:00:00,1523499,570,1609,5,337.99,324.47,111.98,USD,1.0000
269705,1,2017-05-20 00:00:00,2017-05-20 00:00:00,1523499,570,781,2,24.75,24.75,11.39,USD,1.0000
269705,2,2017-05-20 00:00:00,2017-05-20 00:00:00,1523499,570,1704,1,6.29,5.66,3.20,USD,1.0000
269705,3,2017-05-20 00:00:00,2017-05-20 00:00:00,1523499,570,913,2,143.85,129.47,66.15,USD,1.0000
269705,4,2017-05-20 00:00:00,2017-05-20 00:00:00,1523499,570,119,3,113.99,99.17,58.11,USD,1.0000
